# Pharos pharos.watch | Endpoint: depeg-history | As of: 2026-05-16T21:20:16.676Z | URL: https://pharos.watch/datasets/depeg-history/latest.csv | Methodology: depeg-dews v6.0 | Freshness: point-in-time sample; not guaranteed to track production freshness
id,stablecoinId,symbol,direction,peakDeviationBps,startedAtISO,endedAtISO,durationSec,startPrice,peakPrice,recoveryPrice,pegReference,source
89748,alusd-alchemix,ALUSD,below,-105,2026-04-23T20:48:45.000Z,2026-04-23T21:04:33.000Z,948,0.989436,0.989436,0.9899937483307122,0.9998942460355017,live
89747,pusd-pleasing,PUSD,below,-9652,2026-04-23T15:18:56.000Z,2026-05-12T04:34:20.000Z,1602924,0.03484512331408584,0.03484512331408584,,0.9998780740422203,live
89746,alusd-alchemix,ALUSD,below,-107,2026-04-23T14:04:02.000Z,2026-04-23T20:19:15.000Z,22513,0.98949,0.989212,0.9899937483307122,0.9998536731617018,live
89745,alusd-alchemix,ALUSD,below,-114,2026-04-23T09:18:56.000Z,2026-04-23T13:49:27.000Z,16231,0.98894684,0.988355,0.989953,0.9998247248504314,live
89744,pmusd-precious-metals,pmUSD,below,-133,2026-04-23T08:34:24.000Z,2026-04-23T12:49:24.000Z,15300,0.986518,0.986518,0.9901664185588669,0.999788,live
89743,alusd-alchemix,ALUSD,below,-113,2026-04-23T02:33:49.000Z,2026-04-23T08:48:44.000Z,22495,0.989367,0.9885640949212628,0.993617,0.999887,live
89742,pmusd-precious-metals,pmUSD,below,-122,2026-04-23T00:34:18.000Z,2026-04-23T01:48:43.000Z,4465,0.987761,0.9876695685227234,0.994057,0.9998183109286832,live
89741,alusd-alchemix,ALUSD,below,-104,2026-04-23T00:18:42.000Z,2026-04-23T01:33:55.000Z,4513,0.98963676,0.98945315,0.9904309219302305,0.999784518437527,live
89739,pmusd-precious-metals,pmUSD,below,-100,2026-04-22T22:33:49.000Z,2026-04-22T22:48:44.000Z,895,0.9898673038623705,0.9898673038623705,0.992454,0.9998360711140402,live
89740,alusd-alchemix,ALUSD,below,-103,2026-04-22T22:33:49.000Z,2026-04-22T23:33:41.000Z,3592,0.989514515,0.989514515,0.9899300271579251,0.9998360711140402,live
89738,alusd-alchemix,ALUSD,below,-102,2026-04-22T21:19:31.000Z,2026-04-22T21:48:42.000Z,1751,0.989517635,0.989517635,0.9919225801780563,0.99976493115,live
89737,pmusd-precious-metals,pmUSD,below,-103,2026-04-22T21:04:28.000Z,2026-04-22T22:03:42.000Z,3554,0.9894913831604678,0.9894913831604678,0.9924042788821182,0.999754,live
89736,alusd-alchemix,ALUSD,below,-102,2026-04-22T20:34:39.000Z,2026-04-22T21:04:28.000Z,1789,0.989643,0.989530375,0.9907362312521432,0.999771,live
89735,alusd-alchemix,ALUSD,below,-102,2026-04-22T19:49:26.000Z,2026-04-22T20:04:58.000Z,932,0.989758,0.989758,0.9909737134424652,0.9999110497521039,live
89734,yusd-aegis,YUSD,below,-481,2026-04-22T18:19:35.000Z,2026-04-22T19:04:52.000Z,2717,0.951833,0.951833,0.998728,0.999888,live
89733,alusd-alchemix,ALUSD,below,-104,2026-04-22T17:34:35.000Z,2026-04-22T19:35:02.000Z,7227,0.98965,0.98950362,0.9909737134424652,0.9999347997673277,live
